限定棋盘——安魂曲：,,,,,,,,,,,,,,,,,,,,,,,,
勇者宝箱——分支6,勇者宝箱——分支7,勇者宝箱——分支8,,,,,,,,,,,,,,,,,,,,,,
勇者宝箱——分支5,,勇者宝箱——分支9,,迷迭棋盒（30个白色棋子）——45,学徒宝箱——46,学徒宝箱——47,勇者宝箱——48,再来一次+沉眠池——49,学徒宝箱——50,弧光盲盒——51,迷迭棋盒（30个白色棋子）——52,,,学徒宝箱——7,学徒宝箱——8,迷迭棋盒（30个白色棋子）——9,于此同行（埃德嘉）——10,,,,,,,
勇者宝箱——分支4,,,,于此同行（阿德勒）——44,,,,,,,学徒宝箱——53,,,勇者宝箱——6,,,学徒宝箱——11,,,,,,,
多重惊喜——分支3,今日穿搭——分支2,勇者宝箱——分支1,,学徒宝箱——43,,,,,,,勇者宝箱——54,,,学徒宝箱——5,,,勇者宝箱——12,,,,,,,
,,,,勇者宝箱——42,,,,,,起点——0,于此同行（阿德勒）——1,学徒宝箱——2,风向标——3,学徒宝箱——4,,,学徒宝箱——13,学徒宝箱——14,迷迭棋盒（50个白色棋子）——15,,,,,
,,,,迷迭棋盒（50个白色棋子）——41,,,,,,,,,,,,,,,学徒宝箱——16,,于此同行（安魂曲）——分支1,改装时刻·涂装——分支2,勇者宝箱——分支3,学徒宝箱——分支4
,,,,学徒宝箱——40,,,,,,,,,,,,,,,于此同行（埃德嘉）——17,,,,,勇者宝箱——分支5
,,,,迷迭棋盒（30个白色棋子）——39,,,,,,,,,,,,,,,勇者宝箱——18,,勇者宝箱——分支9,学徒宝箱——分支8,勇者宝箱——分支7,学徒宝箱——分支6
,,,,学徒宝箱——38,于此同行（薄荷）——37,勇者宝箱——36,学徒宝箱——35,学徒宝箱——34,,,,,,,,,,,学徒宝箱——19,,,,,
,,,,,,,,迷迭棋盒（30个白色棋子）——33,学徒宝箱——32,学徒宝箱——31,勇者宝箱——30,于此同行（薄荷）——29,学徒宝箱——28,迷迭棋盒（50个白色棋子）——27,,,,,学徒宝箱——20,,,,,
,,,,,,,,,,,,,,学徒宝箱——26,学徒宝箱——25,勇者宝箱——24,学徒宝箱——23,弧光盲盒+沉眠池——22,迷迭棋盒（30个白色棋子）——21,,,,,
